"step","time","part","epoch","loss","lr","dx_f_measure"
120,"2024-09-05 01:23:53.904169","train",0,0.04421035200357437,4.045616712888893e-06,""
240,"2024-09-05 01:26:03.223734","train",0,0.05093463882803917,4.182380148034953e-06,""
360,"2024-09-05 01:28:06.602280","train",0,0.04703446105122566,4.410030359673387e-06,""
480,"2024-09-05 01:30:07.401041","train",0,0.05210955813527107,4.728134653873243e-06,""
600,"2024-09-05 01:31:59.947641","train",0,0.04841853305697441,5.136088410957103e-06,""
720,"2024-09-05 01:33:52.455202","train",0,0.03713756427168846,5.6331162346996455e-06,""
840,"2024-09-05 01:35:43.377412","train",0,0.03853646665811539,6.218273426120274e-06,""
960,"2024-09-05 01:37:36.999766","train",0,0.05581515654921532,6.890447779069164e-06,""
1080,"2024-09-05 01:39:30.085545","train",0,0.04441395029425621,7.648361694193414e-06,""
1153,"2024-09-05 01:56:57.046213","train",0,"","",0.27018689325978706
1153,"2024-09-05 01:58:41.435214","val",0,"","",0.26420260803301193
1200,"2024-09-05 01:59:29.559185","train",1,0.03954146057367325,8.490574607265505e-06,""
1320,"2024-09-05 02:01:19.062170","train",1,0.03701459616422653,9.415485727258454e-06,""
1440,"2024-09-05 02:03:09.026505","train",1,0.04326247796416283,1.0421337078963592e-05,""
1560,"2024-09-05 02:04:58.435149","train",1,0.03246351704001427,1.1506216844367611e-05,""
1680,"2024-09-05 02:06:47.372691","train",1,0.03315836936235428,1.2668062996438112e-05,""
1800,"2024-09-05 02:08:36.642328","train",1,0.03553647920489311,1.3904667218410914e-05,""
1920,"2024-09-05 02:10:26.597539","train",1,0.0394710898399353,1.5213679101129732e-05,""
2040,"2024-09-05 02:12:16.517979","train",1,0.030438270419836044,1.6592610610460326e-05,""
2160,"2024-09-05 02:14:06.294266","train",1,0.03437638282775879,1.803884081628791e-05,""
2280,"2024-09-05 02:15:56.722674","train",1,0.043604739010334015,1.9549620874109543e-05,""
2306,"2024-09-05 02:33:25.904064","train",1,"","",0.3708431553968351
2306,"2024-09-05 02:35:33.390244","val",1,"","",0.35221798110676866
2400,"2024-09-05 02:37:08.669967","train",2,0.04048024117946625,2.112207924975291e-05,""
2520,"2024-09-05 02:39:02.495518","train",2,0.028930790722370148,2.275322717729086e-05,""
2640,"2024-09-05 02:40:56.345386","train",2,0.03773784637451172,2.4439964339777968e-05,""
2760,"2024-09-05 02:42:51.459815","train",2,0.022608010098338127,2.617908476201175e-05,""
2880,"2024-09-05 02:44:45.619206","train",2,0.032413188368082047,2.7967282904118018e-05,""
3000,"2024-09-05 02:46:38.484908","train",2,0.02724623866379261,2.9801159944378578e-05,""
3120,"2024-09-05 02:48:31.626694","train",2,0.040230970829725266,3.167723023935928e-05,""
3240,"2024-09-05 02:50:22.066982","train",2,0.02817455120384693,3.3591927949059916e-05,""
3360,"2024-09-05 02:52:13.058012","train",2,0.02908739075064659,3.554161381449327e-05,""
3459,"2024-09-05 03:11:09.526364","train",2,"","",0.4330855572240447
3459,"2024-09-05 03:13:08.686436","val",2,"","",0.4046607688099689
3480,"2024-09-05 03:13:33.788621","train",3,0.02997349016368389,3.7522582074811606e-05,""
3600,"2024-09-05 03:15:26.157962","train",3,0.02782604657113552,3.953106751083265e-05,""
3720,"2024-09-05 03:17:18.459185","train",3,0.03215093910694122,4.156325260157826e-05,""
3840,"2024-09-05 03:19:11.234251","train",3,0.027258744463324547,4.361527478022253e-05,""
3960,"2024-09-05 03:21:03.434420","train",3,0.04165695235133171,4.5683233775658584e-05,""
4080,"2024-09-05 03:22:58.332791","train",3,0.026038140058517456,4.776319902572972e-05,""
4200,"2024-09-05 03:24:53.587912","train",3,0.03069743514060974,4.9851217148034635e-05,""
4320,"2024-09-05 03:26:46.297341","train",3,0.02317521721124649,5.1943319454106994e-05,""
4440,"2024-09-05 03:28:41.794365","train",3,0.05414161831140518,5.4035529492687204e-05,""
4560,"2024-09-05 03:30:36.427275","train",3,0.039869263768196106,5.612387060774889e-05,""
4612,"2024-09-05 03:49:11.617298","train",3,"","",0.4536798768452833
4612,"2024-09-05 03:51:09.586302","val",3,"","",0.41336024417784767
4680,"2024-09-05 03:52:19.705938","train",4,0.03222406655550003,5.8204373496914536e-05,""
4800,"2024-09-05 03:54:11.812710","train",4,0.026854099705815315,6.027308375589418e-05,""
4920,"2024-09-05 03:56:03.451418","train",4,0.026750411838293076,6.23260693946072e-05,""
5040,"2024-09-05 03:57:56.979161","train",4,0.035683706402778625,6.435942831070174e-05,""
5160,"2024-09-05 03:59:49.799131","train",4,0.022407978773117065,6.636929570626624e-05,""
5280,"2024-09-05 04:01:40.598063","train",4,0.03982686996459961,6.835185143363708e-05,""
5400,"2024-09-05 04:03:33.248122","train",4,0.017788276076316833,7.030332725633917e-05,""
5520,"2024-09-05 04:05:27.522068","train",4,0.03127207234501839,7.222001401135944e-05,""
5640,"2024-09-05 04:07:19.325541","train",4,0.02159210667014122,7.409826865913946e-05,""
5760,"2024-09-05 04:09:12.063687","train",4,0.025307076051831245,7.593452120788758e-05,""
5765,"2024-09-05 04:26:58.205744","train",4,"","",0.5272286485145811
5765,"2024-09-05 04:28:59.412044","val",4,"","",0.4808791833215794
5880,"2024-09-05 04:30:53.741365","train",5,0.020017312839627266,7.772528149904931e-05,""
6000,"2024-09-05 04:32:46.605243","train",5,0.028919300064444542,7.946714584103906e-05,""
6120,"2024-09-05 04:34:42.640496","train",5,0.03354170545935631,8.115680347862431e-05,""
6240,"2024-09-05 04:36:34.642635","train",5,0.02666911482810974,8.279104288566613e-05,""
6360,"2024-09-05 04:38:26.573126","train",5,0.020192217081785202,8.436675786925522e-05,""
6480,"2024-09-05 04:40:17.900525","train",5,0.03535176441073418,8.588095347364159e-05,""
6600,"2024-09-05 04:42:09.636664","train",5,0.01728801615536213,8.73307516727359e-05,""
6720,"2024-09-05 04:44:01.243312","train",5,0.022851018235087395,8.871339684036339e-05,""
6840,"2024-09-05 04:45:55.166081","train",5,0.029055075719952583,9.002626098787242e-05,""
6918,"2024-09-05 05:04:16.253219","train",5,"","",0.5508014043463979
6918,"2024-09-05 05:06:18.591935","val",5,"","",0.4947450440231373
6960,"2024-09-05 05:07:03.959067","train",6,0.017709078267216682,9.126684875914306e-05,""
7080,"2024-09-05 05:08:58.378431","train",6,0.01540797296911478,9.24328021735013e-05,""
7200,"2024-09-05 05:10:52.032654","train",6,0.03337980806827545,9.352190510752447e-05,""
7320,"2024-09-05 05:12:37.592163","train",6,0.0362311415374279,9.453208750721887e-05,""
7440,"2024-09-05 05:14:27.739781","train",6,0.032564762979745865,9.546142932256404e-05,""
7560,"2024-09-05 05:16:21.735774","train",6,0.0269634947180748,9.630816415694471e-05,""
7680,"2024-09-05 05:18:16.019848","train",6,0.02687656693160534,9.70706826245345e-05,""
7800,"2024-09-05 05:20:10.519269","train",6,0.023043794557452202,9.77475354092497e-05,""
7920,"2024-09-05 05:22:04.103169","train",6,0.027986817061901093,9.833743601945915e-05,""
8040,"2024-09-05 05:23:58.489015","train",6,0.023148490116000175,9.883926323321415e-05,""
8071,"2024-09-05 05:41:16.596479","train",6,"","",0.5645184644860085
8071,"2024-09-05 05:43:14.839903","val",6,"","",0.4933130459291895
8160,"2024-09-05 05:44:46.424601","train",7,0.027688758447766304,9.925206322935093e-05,""
8280,"2024-09-05 05:46:31.607755","train",7,0.02101602405309677,9.95750514004152e-05,""
8400,"2024-09-05 05:48:15.624122","train",7,0.015507637523114681,9.980761384396248e-05,""
8520,"2024-09-05 05:50:00.643904","train",7,0.013763215392827988,9.994930852940049e-05,""
8640,"2024-09-05 05:51:45.587535","train",7,0.027107052505016327,9.99998661381549e-05,""
8760,"2024-09-05 05:53:29.580040","train",7,0.0219415295869112,9.99921930081529e-05,""
8880,"2024-09-05 05:55:13.487382","train",7,0.029010068625211716,9.996696082155154e-05,""
9000,"2024-09-05 05:56:58.376176","train",7,0.03413300961256027,9.992428664273665e-05,""
9120,"2024-09-05 05:58:44.281041","train",7,0.019559379667043686,9.986418536806494e-05,""
9224,"2024-09-05 06:17:58.393912","train",7,"","",0.5997238827396975
9224,"2024-09-05 06:19:58.959053","val",7,"","",0.5005539420493309
9240,"2024-09-05 06:20:24.802161","train",8,0.01486273668706417,9.978667797720267e-05,""
9360,"2024-09-05 06:22:13.799590","train",8,0.026437073945999146,9.969179152580217e-05,""
9480,"2024-09-05 06:24:05.543594","train",8,0.037829406559467316,9.957955913605743e-05,""
9600,"2024-09-05 06:25:54.942371","train",8,0.027163665741682053,9.945001998514215e-05,""
9720,"2024-09-05 06:27:38.514564","train",8,0.017927320674061775,9.93032192915341e-05,""
9840,"2024-09-05 06:29:26.144804","train",8,0.029278945177793503,9.913920829923051e-05,""
9960,"2024-09-05 06:31:17.952493","train",8,0.02030954323709011,9.895804425986035e-05,""
10080,"2024-09-05 06:33:09.616263","train",8,0.024984631687402725,9.875979041269933e-05,""
10200,"2024-09-05 06:35:00.860584","train",8,0.025278739631175995,9.854451596259486e-05,""
10320,"2024-09-05 06:36:46.298053","train",8,0.01966271549463272,9.831229605580859e-05,""
10377,"2024-09-05 06:54:57.502868","train",8,"","",0.6364406429106598
10377,"2024-09-05 06:56:57.361995","val",8,"","",0.5089231406830276
10440,"2024-09-05 06:58:04.918026","train",9,0.02280806563794613,9.806321175378497e-05,""
10560,"2024-09-05 06:59:57.533691","train",9,0.014834322966635227,9.779735000485495e-05,""
10680,"2024-09-05 07:01:51.183945","train",9,0.017936011776328087,9.751480361388475e-05,""
10800,"2024-09-05 07:03:43.795117","train",9,0.02100084349513054,9.721567120988034e-05,""
