"step","time","part","epoch","loss","lr","segmentation_miou","segmentation_dice"
120,"2024-08-13 18:59:49.243829","train",0,2.0929222106933594,3.6319602582546865e-06,"",""
240,"2024-08-13 19:01:13.154603","train",0,1.7042468786239624,3.7277937432915123e-06,"",""
360,"2024-08-13 19:02:37.239977","train",0,1.498860239982605,3.887358655900699e-06,"",""
480,"2024-08-13 19:04:01.455701","train",0,1.2827728986740112,4.110418897201919e-06,"",""
600,"2024-08-13 19:05:25.545385","train",0,1.1238272190093994,4.3966444179859904e-06,"",""
720,"2024-08-13 19:06:49.536398","train",0,1.0381200313568115,4.745611707069407e-06,"",""
840,"2024-08-13 19:08:13.534653","train",0,0.9434977769851685,5.15680441793915e-06,"",""
960,"2024-08-13 19:09:37.533931","train",0,1.005446195602417,5.629614132760403e-06,"",""
1080,"2024-08-13 19:11:01.539355","train",0,0.8587653040885925,6.163341262616922e-06,"",""
1200,"2024-08-13 19:12:25.641591","train",0,0.8564866781234741,6.757196082651868e-06,"",""
1320,"2024-08-13 19:13:49.707667","train",0,0.7903026938438416,7.410299900577555e-06,"",""
1440,"2024-08-13 19:15:13.827203","train",0,0.9238364100456238,8.121686356825066e-06,"",""
1560,"2024-08-13 19:16:37.839763","train",0,0.7989434003829956,8.890302854410148e-06,"",""
1680,"2024-08-13 19:18:02.055700","train",0,0.7620887160301208,9.715012116399393e-06,"",""
1800,"2024-08-13 19:19:26.127939","train",0,0.7749476432800293,1.05945938686725e-05,"",""
1920,"2024-08-13 19:20:50.144388","train",0,0.7320979833602905,1.1527746645490633e-05,"",""
2040,"2024-08-13 19:22:14.136208","train",0,0.7368068695068359,1.2513089715199239e-05,"",""
2160,"2024-08-13 19:23:38.123041","train",0,0.6947616338729858,1.354916512321606e-05,"",""
2280,"2024-08-13 19:25:02.121613","train",0,0.706366240978241,1.4634439849281301e-05,"",""
2400,"2024-08-13 19:26:26.152182","train",0,0.6786258220672607,1.5767308075778172e-05,"",""
2520,"2024-08-13 19:27:50.178839","train",0,0.6398355960845947,1.6946093563767448e-05,"",""
2640,"2024-08-13 19:29:14.213948","train",0,0.6246670484542847,1.816905213322029e-05,"",""
2760,"2024-08-13 19:30:38.239831","train",0,0.6533945798873901,1.943437424377954e-05,"",""
