"step","time","part","epoch","loss","lr","detection_map","detection_map_50","detection_map_75","detection_map_small","detection_map_medium","detection_map_large","detection_mar_1","detection_mar_10","detection_mar_100","detection_mar_small","detection_mar_medium","detection_mar_large","detection_map_I","detection_mar_100_I","detection_map_II","detection_mar_100_II","detection_map_III","detection_mar_100_III","detection_map_aVR","detection_mar_100_aVR","detection_map_aVL","detection_mar_100_aVL","detection_map_aVF","detection_mar_100_aVF","detection_map_V1","detection_mar_100_V1","detection_map_V2","detection_mar_100_V2","detection_map_V3","detection_mar_100_V3","detection_map_V4","detection_mar_100_V4","detection_map_V5","detection_mar_100_V5","detection_map_V6","detection_mar_100_V6","detection_map_waveform","detection_mar_100_waveform"
350,"2024-08-08 23:57:33.615309","train",0,2.8747217655181885,9.841213400340926e-06,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
360,"2024-08-08 23:57:50.214515","train",0,2.7297420501708984,1.01723212476966e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
370,"2024-08-08 23:58:06.590096","train",0,2.6139631271362305,1.0511913549126573e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
380,"2024-08-08 23:58:26.244675","train",0,2.7005274295806885,1.0859921420691536e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
390,"2024-08-08 23:58:43.109974","train",0,2.638864517211914,1.121627427141219e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
400,"2024-08-08 23:59:00.382031","train",0,2.5746865272521973,1.1580899817588232e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
410,"2024-08-08 23:59:17.926145","train",0,2.5381269454956055,1.1953724097460525e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
420,"2024-08-08 23:59:34.338384","train",0,2.5650904178619385,1.2334671486213754e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
430,"2024-08-08 23:59:49.862938","train",0,2.4450581073760986,1.2723664711316419e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
440,"2024-08-09 00:00:07.372351","train",0,2.4227216243743896,1.3120624868194985e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
450,"2024-08-09 00:00:23.978399","train",0,2.4275622367858887,1.3525471436239144e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
460,"2024-08-09 00:00:41.111059","train",0,2.441924571990967,1.3938122295134917e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
470,"2024-08-09 00:00:58.384456","train",0,2.403592109680176,1.435849374152206e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
480,"2024-08-09 00:01:15.371954","train",0,2.3325753211975098,1.4786500505972839e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
490,"2024-08-09 00:01:32.441856","train",0,2.2969257831573486,1.5222055770288301e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
500,"2024-08-09 00:01:49.977374","train",0,2.397474765777588,1.566507118510869e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
510,"2024-08-09 00:02:06.855051","train",0,2.4045305252075195,1.6115456887834604e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
520,"2024-08-09 00:02:23.494103","train",0,2.3267459869384766,1.6573121520854854e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
