"step","time","part","epoch","loss","lr","detection_map","detection_map_50","detection_map_75","detection_map_small","detection_map_medium","detection_map_large","detection_mar_1","detection_mar_10","detection_mar_100","detection_mar_small","detection_mar_medium","detection_mar_large","detection_map_I","detection_mar_100_I","detection_map_II","detection_mar_100_II","detection_map_III","detection_mar_100_III","detection_map_aVR","detection_mar_100_aVR","detection_map_aVL","detection_mar_100_aVL","detection_map_aVF","detection_mar_100_aVF","detection_map_V1","detection_mar_100_V1","detection_map_V2","detection_mar_100_V2","detection_map_V3","detection_mar_100_V3","detection_map_V4","detection_mar_100_V4","detection_map_V5","detection_mar_100_V5","detection_map_V6","detection_mar_100_V6","detection_map_waveform","detection_mar_100_waveform"
1226,"2024-08-09 12:56:07.696056","val",0,"","",0.012756939977407455,0.034498587250709534,0.006526730488985777,0.0,0.0,0.16584022343158722,0.008743087761104107,0.020026948302984238,0.020026948302984238,0.0,0.0,0.2603503167629242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16584022343158722,0.2603503167629242
1240,"2024-08-09 12:56:45.381829","train",1,1.8785704374313354,1.5065090688804393e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1280,"2024-08-09 12:58:06.842902","train",1,1.842280626296997,1.5812863700929594e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1320,"2024-08-09 12:59:17.728181","train",1,1.7890292406082153,1.657733212712432e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1360,"2024-08-09 13:00:36.010902","train",1,1.746734619140625,1.7357876011473705e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1400,"2024-08-09 13:01:51.085478","train",1,1.6952383518218994,1.81538623614547e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1440,"2024-08-09 13:03:14.570559","train",1,1.6077250242233276,1.8964645661269773e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1480,"2024-08-09 13:04:39.674013","train",1,1.5264363288879395,1.9789568395336667e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1520,"2024-08-09 13:06:07.950703","train",1,1.5326528549194336,2.062796158150941e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1560,"2024-08-09 13:07:26.949637","train",1,1.4505975246429443,2.1479145313598376e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1600,"2024-08-09 13:08:44.067321","train",1,1.4460556507110596,2.2342429312749356e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1640,"2024-08-09 13:10:02.099491","train",1,1.331398844718933,2.3217113487234365e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1680,"2024-08-09 13:11:21.469487","train",1,1.3410325050354004,2.410248850020049e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1720,"2024-08-09 13:12:42.635583","train",1,1.2334966659545898,2.4997836344916063e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1760,"2024-08-09 13:13:59.744211","train",1,1.1820298433303833,2.5902430927047894e-05,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
